"code","title","address","address_detail","phone","lat","lng","open_date","end_date","start_hhmm","end_hhmm","is_24h","svc_parcel","svc_atm","svc_wine","svc_coffee","svc_smoothie","svc_apple","svc_toto","svc_auto","svc_pickup","svc_chicken","svc_noodle","tobacco_license","first_seen_at","last_seen_at","current_month_file"
"28783","퍼시픽타워점","서울특별시 중구 세종대로9길 41","지하1층 B3호","","37.5613582316301","126.97299628821","2025-01-07","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28784","서면엘루체점","부산광역시 부산진구 신천대로126번길 42","제301동 108,109호","","35.1558216840151","129.052378769375","2025-01-07","","00:00","00:00",1,1,0,0,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29","2025/01"
"28785","수원서둔점","경기도 수원시 권선구 서호동로14번길 27(서둔동)","","","37.2668748001874","126.989651702705","2024-12-27","","06:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28786","동탄마크폴리스점","경기도 화성시 동탄순환대로27길 20(영천동)","1층","","37.208020674122","127.107709803319","2025-01-09","","07:00","01:00",0,0,0,1,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28787","구미진평중앙점","경상북도 구미시 인동26길 23-2","1층","","36.0946558011676","128.427466304581","2025-01-08","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28788","R신천드림점","대구광역시 동구 동부로22길 36","","","35.8733528954876","128.626683403186","2024-12-30","","06:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28789","뉴월곡역점","서울특별시 성북구 화랑로 77","","","37.6025206331366","127.040891049858","2024-12-30","","00:00","00:00",1,0,0,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29","2024/12"
"28790","R충무로스타점","서울특별시 중구 퇴계로 184","101호","","37.5608484867732","126.992226692653","2024-12-31","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2024/12"
"28792","R대치역점","서울특별시 강남구 남부순환로 2947","대원빌딩 1층","","37.4945603877761","127.062632515245","2025-01-02","","06:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28793","연수주공점","인천광역시 연수구 함박뫼로 221","주공2차 아파트 상가 101호 102호","","37.4199999293347","126.690731371716","2025-01-03","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28794","세종조치원역점","세종특별자치시 조치원읍 으뜸길 227","","","36.6017092031075","127.296554849573","2025-01-08","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28795","원당역점","경기도 고양시 덕양구 고양대로 1415","1층상가 A105호","","37.6537831910422","126.841400997902","2025-01-21","","06:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28797","R기장장안점","부산광역시 기장군 장안읍 해맞이로 14","","","35.3126783961224","129.24537242162","2025-01-02","","05:00","00:00",0,0,0,1,1,0,1,0,0,0,0,1,0,"2026-04-29","2026-04-29","2025/01"
"28798","성내성안로점","서울특별시 강동구 성안로9길 16","","","37.5293336240422","127.13045217355","2025-01-02","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28799","평창아이원점","강원특별자치도 평창군 대관령면 솔봉로 471","2층","","37.6572001697172","128.683738877324","2025-01-11","","08:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28800","양산대방8차점","경상남도 양산시 물금읍 야리로 50","상가동 105호","","35.3145375770083","129.000940676619","2025-01-03","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28801","별내미리내점","경기도 남양주시 별내3로 25","제상가동 101-103호","","37.6445055581596","127.117334956505","2025-01-07","","07:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28802","시지청솔점","대구광역시 수성구 고산로 70","4-16동 지하1층 1호(신매동)","","35.8372808479899","128.704716301649","2025-01-13","","06:00","01:00",0,1,0,0,1,0,0,0,0,0,1,1,0,"2026-04-29","2026-04-29","2025/01"
"28803","동백어울림점","경기도 용인시 기흥구 동백8로 25","상가동 1층 103,104호","","37.2858344278005","127.15364714926","2025-01-14","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28805","세종보람엔젤점","세종특별자치시 한누리대로 2149","113, 114호","","36.4778052000471","127.287839973781","2025-01-16","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28806","향남스타점","경기도 화성시 향남읍 행정서로1길 31-15","101호","","37.1274143688716","126.91370204216","2025-01-16","","06:00","02:00",0,0,0,1,1,0,0,0,1,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28807","R종로성대점","서울특별시 종로구 성균관로 13","","","37.5838744599935","126.997707594749","2025-01-07","","08:00","02:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28808","서산한서대점","충청남도 서산시 해미면 한서1로 36","1층","","36.690559860399","126.580170499868","2025-01-08","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28809","송도스마트밸리점","인천광역시 연수구  송도미래로 30","송도 BRC 스마트밸리 지식산업센터 1층","","37.3666405488818","126.647280218866","2025-01-08","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28811","웅지빌리지점","경기도 파주시 탄현면 웅지로110번길 14","","","37.8161104651313","126.732148528147","2025-01-11","","06:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28812","상신부영점","경기도 화성시 향남읍 상신하길로 65","104-106호","","37.1006547229099","126.89432630995","2025-01-23","","07:00","01:00",0,1,1,1,1,0,0,0,0,0,0,1,0,"2026-04-29","2026-04-29","2025/01"
"28813","광주어등산한양점","광주광역시 광산구 여대길 340","상가동 101, 102호","","35.1670867640222","126.793319664159","2025-01-16","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28814","청주강내한빛점","충청북도 청주시 흥덕구 강내면 태성탑연로 391-36","","","36.6185339939654","127.354176068112","2025-01-14","","07:00","01:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28815","강릉교동부영점","강원특별자치도 강릉시 가작로 71","","","37.7691585523877","128.884231149328","2025-01-13","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28816","종로BS타워점","서울특별시 종로구 종로35길 12","","","37.5717984746063","127.004129353368","2025-01-14","","00:00","00:00",1,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28817","안성우남점","경기도 안성시 중앙로 274-32","1층","","37.0104041064095","127.259033221064","2025-01-24","","00:00","00:00",1,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28818","여수낭만포차점","전라남도 여수시 여수시민로 1","","","34.736883674444","127.749923781291","2025-01-14","","17:00","01:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28820","세종신동아점","세종특별자치시 대평1길 27","","","36.4698645904144","127.277356518501","2025-01-14","","06:00","00:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28822","마산내서동신점","경상남도 창원시 마산회원구 내서읍 중리상곡로136","","","35.2519755680357","128.512117253357","2025-01-14","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28823","군산수송타운점","전북특별자치도 군산시 수송안11길 1","1층","","35.960065624487","126.717194707109","2025-01-15","","06:00","00:00",0,1,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28824","S동대문DDP역점","서울특별시 중구 을지로 279","205-106호","","37.5655895229776","127.009131498424","2025-01-15","","06:00","00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
"28825","R경주안강우방점","경상북도 경주시 안강읍 구부랑길 37","","","36.0009989127085","129.196434414515","2025-01-16","","06:00","00:00",0,0,0,0,1,0,0,0,0,0,0,0,0,"2026-04-29","2026-04-29","2025/01"
